user_id,anonymousId,first_name,last_name,date_of_birth,gender,email,phone_number,address,country,account_creation_date,province,zip_code,customer_tier
CUST-A000001,93595c96-1af6-4c9e-990a-e61e45635cef,Chayanin,Charoensuksopol,1951-04-15T00:00:00+07:00,Female,chayanin.charoensuksopol@hotmailx.com,+6615364371,31 หมู่ 2 ถนนสังข์กรด ตำบลสุขเดือนห้า อำเภอศรีสงคราม ปทุมธานี 32630,Thailand,2024-05-25T00:00:00+07:00,ปทุมธานี,32630,Bronze
CUST-A000002,678f34ef-a894-4855-b950-19f037ed8e82,Puntira,Youprasert,1914-08-13T00:00:00+06:42,Other,puntira.youprasert@gmailx.com,+6618514452,09/4 ถ.นิยมเซียม ต.วัดพะโต๊ะ อ.เวียงชัย กาญจนบุรี 64340,Thailand,2023-08-10T00:00:00+07:00,กาญจนบุรี,64340,Bronze
CUST-A000003,96d7d6cd-c3ac-4b5b-b434-a9ff3fc3b239,Prima,Prakalpawong,2012-05-26T00:00:00+07:00,Female,prima.prakalpawong@gmailx.com,+6612473770,4 ซอยจ้อยนุแสง ตำบลบางโรง อำเภอภาษีเจริญ ปัตตานี 53940,Thailand,2023-08-18T00:00:00+07:00,ปัตตานี,53940,Bronze
CUST-A000004,365934ac-3aa1-4cc7-ba02-72f8046cc5b9,Chanya,Suraprachit,1918-04-28T00:00:00+06:42,Other,chanya.suraprachit@hotmailx.com,+6611186445,83 ถนนทันยุค นาทม สมุทรปราการ 30700,Thailand,2024-02-29T00:00:00+07:00,สมุทรปราการ,30700,Bronze
CUST-A000005,a4f61740-e535-40b1-b1a2-47933282d5da,Supasita,Chowitunkit,2016-08-20T00:00:00+07:00,Male,supasita.chowitunkit@hotmailx.com,+6613895189,739/5 ถนนเยาวธนโชค อำเภอวังยาง เชียงราย 10220,Thailand,2023-11-28T00:00:00+07:00,เชียงราย,10220,Bronze
CUST-A000006,1767641f-0125-4697-939b-fdd06a24e194,Chayapat,Kittakun,1954-12-27T00:00:00+07:00,Male,chayapat.kittakun@hotmailx.com,+6617262265,20 ถนนศรีวงค์ ยางตลาด ภูเขียว พัทลุง 26960,Thailand,2024-04-11T00:00:00+07:00,พัทลุง,26960,Bronze
CUST-A000007,2dafe341-117a-445c-a72a-07cc743bbee9,Patchaploy,Pichpandecha,1962-09-21T00:00:00+07:00,Other,patchaploy.pichpandecha@gmailx.com,+6612869205,01/58 ถ.ทองประดิฐ ตำบลเขากอบ อำเภอศรีสงคราม สุราษฎร์ธานี 18380,Thailand,2024-04-30T00:00:00+07:00,สุราษฎร์ธานี,18380,Bronze
CUST-A000008,87c6e5dd-2bc3-4a35-bb3a-e92ef97d456b,Atit,Kumsoontorn,1977-02-07T00:00:00+07:00,Male,atit.kumsoontorn@gmailx.com,+6614344047,23 หมู่ 8 ถ.หนุนสุข ตำบลห้วยยอด อำเภอภาษีเจริญ ฉะเชิงเทรา 38650,Thailand,2023-11-12T00:00:00+07:00,ฉะเชิงเทรา,38650,Bronze
CUST-A000009,80187fbe-849a-4d9a-86ad-80fb2a0ed064,Pada,Phusilarungrueng,1991-02-07T00:00:00+07:00,Female,pada.phusilarungrueng@gmailx.com,+6617790480,32 หมู่ 1 ถนนธีวร อ.โพนสวรรค์ จ.สิงห์บุรี 61030,Thailand,2024-04-17T00:00:00+07:00,สิงห์บุรี,61030,Bronze
CUST-A000010,73c31dc3-62c5-47c1-9889-8c61409cd8a6,Pak,Chowitunkit,2009-07-09T00:00:00+07:00,Female,pak.chowitunkit@hotmailx.com,+6618127237,88/4 ถนนธีวร ตำบลนาเชือกใต้ จังหวัดเพชรบุรี 62070,Thailand,2023-09-22T00:00:00+07:00,เพชรบุรี,62070,Bronze
