customer_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,country,account_creation_date,employment_status,annual_income,credit_score,suitability_test_score,marital_status,marketing_consent_email,marketing_consent_sms,marketing_consent_line_oa,marketing_consent_web_mobile_push,data_processing_consent,signup_source,product_holding_flag_deposit,product_holding_flag_payment,product_holding_flag_investment,product_holding_flag_insurance,asset_under_management_deposit,asset_under_management_payment,asset_under_management_investment,asset_under_management_insurance,total_asset_under_management,customer_tier
CUST-A000001,Apisara,Prachayaroch,1962-08-27T00:00:00+07:00,Male,apisara.prachayaroch@example.com,+6613894189,86 ถนนดุริยพันธุ์ บ่อบางไผ่ ห้วยขวาง บุรีรัมย์ 67140,Thailand,2024-02-15T00:00:00+07:00,Student,6584734,667,4,Widowed,False,False,True,False,True,Web,True,False,True,False,24646,100478,9443,1005,135572,Bronze
CUST-A000002,Chaiwut,Vethayasas,1983-05-29T00:00:00+07:00,Other,chaiwut.vethayasas@example.com,+6615368876,91/02 ถนนทวนทอง เวียงแก่น สมุทรปราการ 46080,Thailand,2023-09-16T00:00:00+07:00,Student,757610,386,7,Widowed,True,True,False,True,True,iOS,False,True,False,False,375,50523,587,282129,333614,Bronze
CUST-A000003,Puntira,Charoensuksopol,2001-02-07T00:00:00+07:00,Male,puntira.charoensuksopol@example.com,+6619028766,1/5 ซอยนิยมธรรม เมือง สระบุรี 65180,Thailand,2023-12-24T00:00:00+07:00,Retired,3305838,408,7,Married,False,True,True,True,True,iOS,False,True,True,False,27915,60232,46812,52310,187269,Bronze
CUST-A000004,Chayapat,Pianduangsri,1981-07-26T00:00:00+07:00,Other,chayapat.pianduangsri@example.com,+6614581232,8/5 ถนนดิสกะประกาย ตำบลในเตา อำเภอศรีวิไล อำนาจเจริญ 52080,Thailand,2024-04-27T00:00:00+07:00,Employed,4380507,303,3,Single,True,False,True,True,True,Web,True,True,True,False,32410,273,5463,22884,61030,Bronze
CUST-A000005,Puntira,Todsapornpitakul,1929-08-27T00:00:00+07:00,Female,puntira.todsapornpitakul@example.com,+6617505962,13 หมู่ 38 ถ.ตวงทอง ต.โนนแดง อ.เฉลิมพระเกียรติ จ.สกลนคร,Thailand,2023-07-20T00:00:00+07:00,Retired,7938074,840,5,Married,True,False,False,True,True,Web,False,False,True,False,31492,12349,58447,129134,231422,Bronze
CUST-A000006,Chayapat,Posalee,1981-09-22T00:00:00+07:00,Female,chayapat.posalee@example.com,+6613273888,91 ซอยแหยมศิริ อำเภอสามโคก ลำพูน 93240,Thailand,2023-10-13T00:00:00+07:00,Unemployed,6620065,497,4,Divorced,False,False,False,False,True,Android,False,False,True,False,359600,13298,3655,1219,377772,Bronze
CUST-A000007,Tunradee,Vinyuvanichkul,1970-02-25T00:00:00+07:00,Other,tunradee.vinyuvanichkul@example.com,+6613342883,83/5 ถ.เขียวอ่อน ต.บ่อดอนสมบูรณ์เหนือ อ.บ้านแท่น จ.ชลบุรี 60030,Thailand,2023-08-23T00:00:00+07:00,Retired,5722888,712,7,Widowed,False,True,False,False,False,Android,True,True,False,True,20978,2390,13742,3983,41093,Bronze
CUST-A000008,Suvakit,Suraprasert,2018-12-22T00:00:00+07:00,Other,suvakit.suraprasert@example.com,+6619660565,87 ซ.แน่นดุจป้อม ต.พระรักษ์เหนือ จ.แม่ฮ่องสอน 92290,Thailand,2024-04-30T00:00:00+07:00,Employed,3935567,365,3,Divorced,False,True,False,False,False,Web,False,True,True,True,27484,174361,28030,20345,250220,Bronze
CUST-A000009,Yada,Tungkasethakul,1976-01-04T00:00:00+07:00,Female,yada.tungkasethakul@example.com,+6615893086,06/72 ซอยธรรมทินนา ตำบลบึงหนองช้างแล่น อำเภอเทพสถิต จังหวัดแพร่ 20960,Thailand,2023-11-01T00:00:00+07:00,Student,3976575,833,7,Single,True,True,True,False,True,Android,True,True,False,True,37300,235,125,158200,195860,Bronze
CUST-A000010,Pak,Norramon,1990-11-17T00:00:00+07:00,Female,pak.norramon@example.com,+6615295884,9 หมู่บ้านกองสิน สะพานสูง หนองคาย 10790,Thailand,2024-07-03T00:00:00+07:00,Retired,9360176,464,8,Single,False,False,True,True,True,Android,True,True,False,True,76114,168,80274,204408,360964,Bronze
