user_id,anonymous_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,country,account_creation_date,marketing_consent_email,marketing_consent_sms,marketing_consent_line_oa,marketing_consent_web_mobile_push,data_processing_consent,signup_source,customer_tier
CUST-A000001,185fcb1b-e077-41ee-af47-10398bab43f5,Pattatomporn,Boonpungbaramee,1932-10-25T00:00:00+07:00,Male,pattatomporn.boonpungbaramee@gmailx.com,+6615103362,38 ถ.กุมารบุญ อำเภอบ้านแพง ชัยภูมิ 66330,Thailand,2023-11-04T00:00:00+07:00,True,False,True,True,False,Android,Bronze
CUST-A000002,f55c7468-2ad4-40dd-9e13-1b4c1174787e,Pattatomporn,Anekvorakul,1972-01-05T00:00:00+07:00,Male,pattatomporn.anekvorakul@hotmailx.com,+6616522411,24 ถ.ตระกูลไม้เรียง ตำบลบางกุ้ง จังหวัดอุบลราชธานี 53340,Thailand,2023-12-30T00:00:00+07:00,False,False,True,True,False,Android,Bronze
CUST-A000003,d980294d-5710-4396-97e6-8d038dfd1715,Pitipat,Tianvarich,1912-02-16T00:00:00+06:42,Female,pitipat.tianvarich@hotmailx.com,+6615828840,47/3 ถนนนกทอง ต.หนองแสงใต้ อ.เวียงแก่น มหาสารคาม 83550,Thailand,2024-06-29T00:00:00+07:00,False,True,False,True,False,iOS,Bronze
CUST-A000004,3c97447a-2ed1-4400-8704-7167ca3ff722,Yada,Pichpandecha,1931-03-21T00:00:00+07:00,Female,yada.pichpandecha@hotmailx.com,+6615601678,4 ถ.อัตตนาถ ต.บึงหนองปลาหมอเหนือ อ.พรเจริญ จ.กรุงเทพ 24090,Thailand,2023-08-19T00:00:00+07:00,False,False,True,True,True,iOS,Bronze
CUST-A000005,53e1313f-c57b-4029-b629-5cb506a202bb,Arisara,Permchart,2013-09-24T00:00:00+07:00,Male,arisara.permchart@hotmailx.com,+6612414566,543 ถ.นิลสุวรรณ์ พรเจริญ กทม. 24830,Thailand,2023-07-15T00:00:00+07:00,True,False,False,False,True,iOS,Bronze
CUST-A000006,99a9a51c-8a02-4902-85b6-3a230510ff58,Atit,Pothanun,2011-09-07T00:00:00+07:00,Male,atit.pothanun@hotmailx.com,+6612918476,59/15 ถ.นิลสุวรรณ์ หนองบัวระเหว พิษณุโลก 77860,Thailand,2024-03-21T00:00:00+07:00,True,False,True,True,True,iOS,Bronze
CUST-A000007,5b42a2fe-f0c2-4fd9-bccb-837908492f8f,Sarunporn,Titipatrayunyong,1915-10-01T00:00:00+06:42,Male,sarunporn.titipatrayunyong@hotmailx.com,+6615761473,985 ถนนดาบเพ็ชร์ ต.โนนแดง จ.ปัตตานี 79860,Thailand,2024-07-01T00:00:00+07:00,False,False,False,False,True,Android,Bronze
CUST-A000008,6adf41a5-5a0c-41b0-a6dd-013a26cc39d3,Pada,Methavorakul,1921-06-05T00:00:00+07:00,Female,pada.methavorakul@hotmailx.com,+6619977331,66 หมู่ 8 ถ.ฉัตรอภิเที่ยงค่ำ ต.ท่างิ้ว อ.หนองบัวโคก จ.ลพบุรี 74480,Thailand,2023-12-18T00:00:00+07:00,True,True,True,False,True,iOS,Bronze
CUST-A000009,7e962a4c-33e5-4a97-a386-fcdfa080d7e3,Thanatcha,Posalee,1909-06-14T00:00:00+06:42,Male,thanatcha.posalee@gmailx.com,+6613684364,779/3 ถ.แหยมศิริ นาเชือกกลาง เนินสง่า ภูเก็ต 77360,Thailand,2024-06-18T00:00:00+07:00,True,False,True,True,True,Android,Bronze
CUST-A000010,4e61d0f3-a6da-4fe4-9f32-91ad9c4e1ffb,Chaifah,Boonpungbaramee,2008-01-14T00:00:00+07:00,Female,chaifah.boonpungbaramee@hotmailx.com,+6612226640,52 หมู่ 67 ถ.เตมิยะเดช กรุงเทพ 23820,Thailand,2024-04-11T00:00:00+07:00,True,False,True,True,True,Android,Bronze
